"","FSCSKEY","FSCS_SEQ","LIBID","LIBNAME","ADDRESS","CITY","STABR","ZIP","C_ADMIN","C_OUT_TY","LATITUDE","LONGITUD","PLS_YEAR","n","ros_entity_number"
"1","AK0003",2,"AK0003-002","ANDERSON COMMUNITY LIBRARY","101 FIRST STREET","ANDERSON","AK",99744,NA,"CE",64.34374942,-149.1744083,2020,1,NA
"2","AK0006",2,"AK0006-002","KUSKOKWIM CONSORTIUM LIBRARY","420 CHIEF EDDIE HOFFMAN HIGHWAY","BETHEL","AK",99559,NA,"CE",60.79058917,-161.7736923,2020,1,NA
"3","AK0008",2,"AK0008-002","CANTWELL COMMUNITY LIBRARY","1 SCHOOL ROAD","CANTWELL","AK",99729,NA,"CE",63.3923707,-148.8948017,2020,1,NA
"4","AK0018",2,"AK0018-002","IPNATCHIAQ LIBRARY","59 MAIN STREET","DEERING","AK",99736,NA,"CE",66.07485877,-162.7196162,2020,1,NA
"5","AK0025",2,"AK0025-002","CHARLES EVANS COMMUNITY/SCHOOL LIBRARY","299 ANTOSKI ROAD","GALENA","AK",99741,NA,"CE",64.74950175,-156.8815216,2020,1,NA
"6","AK0033",2,"AK0033-002","HOPE COMMUNITY LIBRARY","18487 A AVENUE","HOPE","AK",99605,NA,"CE",60.91871116,-149.6412992,2020,1,NA
"7","AK0038",2,"AK0038-002","KENAI COMMUNITY LIBRARY","163 MAIN STREET LOOP","KENAI","AK",99611,NA,"CE",60.55973412,-151.2486134,2020,1,NA
"8","AK0041",2,"AK0041-002","CHUKCHI CONSORTIUM LIBRARY","604 THIRD STREET","KOTZEBUE","AK",99752,NA,"CE",66.89934034,-162.5873743,2020,1,NA
"9","AK0041",3,"AK0041-003","SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY","2600 MUSK OX PARKWAY","SELAWIK","AK",99770,NA,"BR",66.599999,-160.0125,2018,1,NA
"10","AK0053",2,"AK0053-002","NORTHWAY COMMUNITY/SCHOOL LIBRARY","496 NORTHWAY ROAD","NORTHWAY","AK",99764,NA,"CE",62.944215,-141.9413,2017,1,NA
"11","AK0068",2,"AK0068-002","SKAGWAY PUBLIC LIBRARY","769 STATE STREET","SKAGWAY","AK",99840,NA,"CE",59.45760188,-135.3138967,2020,1,NA
"12","AK0071",1,"AK0071-002","TAKOTNA COMMUNITY/SCHOOL LIBRARY","RIVERSIDE DRIVE","TAKOTNA","AK",99675,NA,"CE",62.98819239,-156.0649294,2020,1,NA
"13","AK0073",2,"AK0073-002","TANANA COMMUNITY/SCHOOL LIBRARY","89 FRONT STREET","TANANA","AK",99777,NA,"CE",65.17054645,-152.0816283,2020,1,NA
"14","AK0078",2,"AK0078-002","WASILLA PUBLIC LIBRARY","500 N CRUSEY STREET","WASILLA","AK",99654,NA,"CE",61.58385999,-149.4296874,2020,1,NA
"15","AK0082",2,"AK0082-002","AKIAK SCHOOL/COMMUNITY LIBRARY","1 KILBUCK ROAD","AKIAK","AK",99552,NA,"CE",60.91116104,-161.2189952,2020,1,NA
"16","AK0087",2,"AK0087-002","KOYUK PUBLIC LIBRARY","3RD AND BIRCH STREET","KOYUK","AK",99753,NA,"CE",64.93061,-161.16664,2017,1,NA
"17","AK0091",2,"AK0091-002","TULUKSAK SCHOOL/COMMUNITY LIBRARY","1 PHILLIP STREET","TULUKSAK","AK",99679,NA,"CE",61.107769,-160.952397,2017,1,NA
"18","AK0094",3,"AK0094-003","ALAK COMMUNITY/SCHOOL LIBRARY","567 MAIN STREET","WAINWRIGHT","AK",99782,NA,"BR",70.63714387,-160.0329162,2020,1,NA
"19","AK0094",4,"AK0094-004","TIKIGAK SCHOOL/COMMUNITY LIBRARY","1837 TIKIGAQ AVENUE","POINT HOPE","AK",99766,NA,"BR",68.34938527,-166.731772,2020,1,NA
"20","AK0094",5,"AK0094-005","NUNAMIUT SCHOOL/COMMUNITY LIBRARY","114 ILLINOIS AVENUE","ANAKTUVUK PASS","AK",99721,NA,"BR",68.14036007,-151.7387799,2020,1,NA
"21","AK0094",6,"AK0094-006","MEADE RIVER SCHOOL/COMMUNITY LIBRARY","4001 KIPPI STREET","ATQASUK","AK",99791,NA,"BR",70.48066056,-157.4193599,2020,1,NA
"22","AK0094",7,"AK0094-007","HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY","2001 BARTER AVENUE","KAKTOVIK","AK",99747,NA,"BR",70.13033898,-143.6214731,2020,1,NA
"23","AK0094",8,"AK0094-008","NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY","3310 3RD AVENUE","NUIQSUT","AK",99789,NA,"BR",70.21856887,-150.9988117,2020,1,NA
"24","AK0094",9,"AK0094-009","KALI COMMUNITY/SCHOOL LIBRARY","1029 QASIGIALIK STREET","POINT LAY","AK",99759,NA,"BR",69.74186961,-163.0113935,2020,1,NA
"25","AK0095",2,"AK0095-002","AKIACHAK SCHOOL/COMMUNITY LIBRARY","1 MAIN STREET","AKIACHAK","AK",99551,NA,"CE",60.91065278,-161.4425951,2020,1,NA
"26","AK0097",2,"AK0097-002","ESTHER GREENWALD LIBRARY","366 GARTEENI HIGHWAY","HOONAH","AK",99829,NA,"CE",58.108149,-135.441491,2017,1,NA
"27","AK0100",1,"AK0100-002","TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY","9127 MAIN STREET","NIKOLAI","AK",99691,NA,"CE",63.01347272,-154.374673,2020,1,NA
"28","AK0101",2,"AK0101-002","SAND POINT COMMUNITY/SCHOOL LIBRARY","123 RED COVE ROAD","SAND POINT","AK",99661,NA,"CE",55.35348004,-160.4808471,2020,1,NA
"29","AK0102",2,"AK0102-002","EGEGIK VILLAGE LIBRARY","289 AIRPORT ROAD","EGEGIK","AK",99579,NA,"CE",58.20433955,-157.3714784,2020,1,NA
"30","AK0104",2,"AK0104-002","HOLY CROSS COMMUNITY/SCHOOL LIBRARY","210 MAIN STREET","HOLY CROSS","AK",99602,NA,"CE",62.1988814,-159.7695558,2020,1,NA
"31","AK0120",1,"AK0120-002","INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY","101 PINE STREET","SHAGELUK","AK",99665,NA,"CE",62.655185,-159.5324,2020,1,NA
"32","AK0121",1,"AK0121-002","BLACKWELL COMMUNITY/SCHOOL LIBRARY","100 WHITE SPRUCE TRAIL","ANVIK","AK",99558,NA,"CE",62.65398,-160.2008263,2020,1,NA
"33","AK0122",1,"AK0122-002","DAVID LOUIS COMMUNITY/SCHOOL LIBRARY","DAVID LOUIS SCHOOL BUILDING","GRAYLING","AK",99590,NA,"CE",62.90556141,-160.0656591,2020,1,NA
"34","AK0123",1,"AK0123-001","KLAWOCK PUBLIC LIBRARY","615 NORTH PARK STREET","KLAWOCK","AK",99925,NA,"CE",55.539085,-132.99995,2017,1,NA
"35","AK0136",1,"AK0136-001","SCAMMON BAY PUBLIC LIBRARY","103 MAIN STREET","SCAMMON BAY","AK",99662,NA,"CE",61.842693,-165.583113,2017,1,NA
"36","AK0138",1,"AK0138-002","SHIRLY JACKSON COMMUNITY LIBRARY","175 LIBRARY DR","KAKE","AK",99830,NA,"CE",56.974753,-133.945079,2017,1,NA
"37","AL0010",6,"AL0010-006","CHEAHA REGIONAL BOOKMOBILE","935 COLEMAN STREET","HEFLIN","AL",36264,NA,"BS",33.64383087,-85.58905583,2020,1,NA
"38","AL0010",999,"101-000","CHEAHA REGIONAL LIBRARY","935 COLEMAN STREET","HEFLIN","AL",36264,"MA",NA,33.64383087,-85.58905583,2020,1,NA
"39","AL0011",2,"101-000","ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY","736 COLLEGE STREET","ROANOKE","AL",36274,NA,"CE",33.14955216,-85.37048706,2020,1,NA
"40","AL0014",2,"999-028","CHEROKEE COUNTY PUBLIC LIBRARY","310 MARY STREET","CENTRE","AL",35960,NA,"CE",34.14943219,-85.6763325,2020,1,NA
"41","AL0016",2,"101-005","LINCOLN PUBLIC LIBRARY","47475 US HWY 78","LINCOLN","AL",35096,NA,"CE",33.60385673,-86.12320681,2020,1,NA
"42","AL0017",2,"101-006","LINEVILLE PUBLIC LIBRARY","60119 HIGHWAY 49","LINEVILLE","AL",36266,NA,"CE",33.31085532,-85.75448352,2020,1,NA
"43","AL0020",2,"101-009","TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY","202 SOUTH STREET EAST","TALLADEGA","AL",35160,NA,"CE",33.43319166,-86.09957653,2020,1,NA
"44","AL0023",3,"999-033","ARITON - DOT LANEY MEMORIAL LIBRARY","30 WEST MAIN STREET","ARITON","AL",36311,NA,"CE",31.6001879,-85.7194125,2014,1,NA
"45","AL0026",2,"999-061","OZARK - DALE COUNTY PUBLIC LIBRARY","416 JAMES STREET","OZARK","AL",36360,NA,"CE",31.45208712,-85.6333866,2020,1,NA
"46","AL0033",2,"999-078","CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY","45 NORTH MIDWAY STREET","CLAYTON","AL",36016,NA,"CE",31.88137751,-85.44959246,2020,1,NA
"47","AL0034",2,"517-004","TROY PUBLIC LIBRARY","500 EAST WALNUT STREET","TROY","AL",36079,NA,"CE",31.80839212,-85.96660267,2020,1,NA
"48","AL0041",3,"103-005","ENTERPRISE PUBLIC LIBRARY BOOKMOBILE","101 EAST GRUBBS STREET","ENTERPRISE","AL",36330,NA,"BS",31.31397252,-85.85282496,2020,1,NA
"49","AL0046",2,"103-009","SAMSON PUBLIC LIBRARY","200 NORTH JOHNSON STREET","SAMSON","AL",36477,NA,"CE",31.11672254,-86.04601508,2020,1,NA
"50","AL0048",8,"AL0048-008","HORSESHOE BEND REGIONAL BOOKMOBILE","207 NORTH WEST STREET","DADEVILLE","AL",36853,NA,"BS",32.83156009,-85.76545581,2020,1,NA
"51","AL0048",999,"104-000","HORSESHOE BEND REGIONAL LIBRARY","207 NORTH WEST STREET","DADEVILLE","AL",36853,"MA",NA,32.83156009,-85.76545581,2020,1,NA
"52","AL0049",3,"104-000","MAMIE`S PLACE","284 CHURCH STREET","ALEXANDER CITY","AL",35010,NA,"BR",32.94150699,-85.95387743,2020,1,NA
"53","AL0049",999,"104-001","ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY","318 CHURCH STREET","ALEXANDER CITY","AL",35010,"MA",NA,32.9411837,-85.9538698,2020,1,NA
"54","AL0052",2,"104-003","AUBURN PUBLIC LIBRARY","749 EAST THACH AVENUE","AUBURN","AL",36830,NA,"CE",32.60446547,-85.46556762,2020,1,NA
"55","AL0053",2,"104-004","OPELIKA - LEWIS COOPER JR. MEMORIAL LIBRARY","200 SOUTH 6TH STREET","OPELIKA","AL",36801,NA,"CE",32.64917402,-85.37588394,2020,1,NA
"56","AL0054",2,"104-005","MILLBROOK PUBLIC LIBRARY","3650 GRANDVIEW ROAD","MILLBROOK","AL",36054,NA,"CE",32.47686173,-86.36257955,2020,1,NA
"57","AL0055",2,"104-006","ROCKFORD PUBLIC LIBRARY","9688 US HWY 231","ROCKFORD","AL",35136,NA,"CE",32.88894431,-86.21959744,2020,1,NA
"58","AL0065",2,"999-066","NORTHWEST REGIONAL LIBRARY","185 ASHWOOD DRIVE","WINFIELD","AL",35594,NA,"CE",33.9308428,-87.81502025,2020,1,NA
"59","AL0066",2,"106-000","HAMILTON - CLYDE NIX PUBLIC LIBRARY","350 BEXAR AVENUE WEST","HAMILTON","AL",35570,NA,"CE",34.1433955,-87.99285509,2020,1,NA
"60","AL0068",2,"106-002","GUIN - MCHS COMMUNITY LIBRARY","8115 U.S. HIGHWAY 43","GUIN","AL",35563,NA,"CE",33.97142046,-87.9157865,2020,1,NA
"61","AL0072",2,"106-006","VERNON - MARY WALLACE COBB MEMORIAL LIBRARY","110 FIRST AVENUE WEST","VERNON","AL",35592,NA,"CE",33.75795279,-88.11082505,2020,1,NA
"62","AL0078",2,"107-002","HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE","152 SPARKMAN STREET NW","HARTSELLE","AL",35640,NA,"CE",34.44414284,-86.93497291,2020,1,NA
"63","AL0108",7,"AL0108-008","BIRMINGHAM PUBLIC - EASTWOOD BRANCH","4500 MONTEVALLO ROAD","BIRMINGHAM","AL",35210,NA,"BR",33.52099276,-86.72648439,2020,1,NA
"64","AL0109",6,"AL0109-006","FORT PAYNE - DEKALB COUNTY BOOKMOBILE","504 GRAND AVENUE NW","FORT PAYNE","AL",35967,NA,"BS",34.44529,-85.719998,2018,1,NA
"65","AL0113",3,"504-003","ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM","700 EAST CHURCH STREET","ATMORE","AL",36502,NA,"CE",31.02262333,-87.48568243,2020,1,NA
"66","AL0116",2,"505-002","FLOMATON PUBLIC LIBRARY","DR VAN AVENUE","FLOMATON","AL",36441,NA,"CE",31.00140776,-87.26161337,2020,1,NA
"67","AL0118",2,"AL0117-008","ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY","604 NORTH 4TH STREET","ATTALLA","AL",35954,NA,"CE",34.02383118,-86.08802593,2020,1,NA
"68","AL0118",3,"AL0117-009","ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY BOOKMOBILE","604 NORTH 4TH STREET","ATTALLA","AL",35954,NA,"BS",34.02383118,-86.08802593,2020,1,NA
"69","AL0123",4,"509-000","MARSHALL COUNTY COOPERATIVE LIBRARY","19348 HIGHWAY 431 NORTH","GUNTERSVILLE","AL",35976,NA,"BS",34.38388216,-86.28417907,2020,1,NA
"70","AL0124",2,"509-001","ARAB PUBLIC LIBRARY","325 2ND STREET NW","ARAB","AL",35016,NA,"CE",34.32034621,-86.49698289,2020,1,NA
"71","AL0137",999,"AL8003 - 1","NORTH SHELBY LIBRARY","5521 CAHABA VALLEY ROAD","BIRMINGHAM","AL",35242,"MA",NA,33.36516341,-86.71669298,2020,1,NA
"72","AL0140",2,"511-002","ALICEVILLE PUBLIC LIBRARY","416 THIRD AVENUE NE","ALICEVILLE","AL",35442,NA,"CE",33.12924239,-88.14774035,2020,1,NA
"73","AL0141",2,"511-003","CARROLLTON PUBLIC LIBRARY","225 COMMERCE AVENUE","CARROLLTON","AL",35447,NA,"CE",33.25806975,-88.09441437,2020,1,NA
"74","AL0142",2,"511-004","GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY","287 MAIN STREET SOUTH","GORDO","AL",35466,NA,"CE",33.31783373,-87.90302531,2020,1,NA
"75","AL0143",2,"512-000","REFORM PUBLIC LIBRARY","302 FIRST STREET SOUTH","REFORM","AL",35481,NA,"CE",33.37670534,-88.01589754,2020,1,NA
"76","AL0146",2,"512-003","MOODY - DORIS STANLEY MEMORIAL LIBRARY","300 BOOKMARK CIRCLE","MOODY","AL",35004,NA,"CE",33.59395968,-86.49467466,2020,1,NA
"77","AL0154",6,"514-002","ANNISTON AND CALHOUN COUNTY - BOOKMOBILE","108 EAST 10TH STREET","ANNISTON","AL",36202,NA,"BS",33.65704394,-85.82786968,2020,1,NA
"78","AL0154",NA,"514-001","ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY","108 EAST 10TH STREET","ANNISTON","AL",36201,"MO",NA,33.65704394,-85.82786968,2020,1,NA
"79","AL0157",2,"999-002","AKRON PUBLIC LIBRARY","207 FIRST AVENUE SOUTH","AKRON","AL",35441,NA,"CE",32.87803003,-87.74055944,2020,1,NA
"80","AL0158",7,"999-002","DOTHAN - ROSSIE PURCELL  BRANCH PUBLIC LIBRARY","200 SOUTH MAIN STREET","COLUMBIA","AL",36319,NA,"BR",31.290945,-85.111853,2016,1,NA
"81","AL0158",9,"999-003","DOTHAN HOUSTON COUNTY BOOKMOBILE","445 NORTH OATES STREET","DOTHAN","AL",36303,NA,"BS",31.22877865,-85.39412036,2020,1,NA
"82","AL0158",NA,"999-002","DOTHAN HOUSTON COUNTY LIBRARY SYSTEM","445 NORTH OATES STREET","DOTHAN","AL",36303,"MO",NA,31.228474,-85.39408,2016,1,NA
"83","AL0162",3,"999-006","CHILTON - CLANTON PUBLIC - JEMISON BRANCH LIBRARY","160 MAIN STREET","JEMISON","AL",35085,NA,"BR",32.95877321,-86.74612679,2020,1,NA
"84","AL0162",4,"999-006","CHILTON - CLANTON PUBLIC - MAPLESVILLE BRANCH","9400 MAIN STREET","MAPLESVILLE","AL",36750,NA,"BR",32.78840602,-86.87248775,2020,1,NA
"85","AL0163",3,"999-007","CHOCTAW COUNTY PUBLIC - GILBERTOWN BRANCH","251 COLLEGE STREET","GILBERTOWN","AL",36908,NA,"BR",31.87154914,-88.31545962,2020,1,NA
"86","AL0163",4,"999-007","CHOCTAW COUNTY PUBLIC - SILAS BRANCH","130 INDIAN WAY","SILAS","AL",36919,NA,"BR",31.768246,-88.326805,2015,1,NA
"87","AL0164",2,"999-009","CITRONELLE MEMORIAL LIBRARY","7855 STATE STREET","CITRONELLE","AL",36522,NA,"CE",31.09088247,-88.22898001,2020,1,NA
"88","AL0166",15,"999-011","HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY BOOKMOBILE","915 MONROE STREET","HUNTSVILLE","AL",35804,NA,"BS",34.72313914,-86.59040025,2020,1,NA
"89","AL0166",NA,"999-010","HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY","915 MONROE STREET","HUNTSVILLE","AL",35801,"MO",NA,34.72313914,-86.59040025,2020,1,NA
"90","AL0175",2,"999-020","SCOTTSBORO PUBLIC LIBRARY","1002 SOUTH BROAD STREET","SCOTTSBORO","AL",35768,NA,"CE",34.66072384,-86.03506387,2020,1,NA
"91","AL0181",2,"999-026","PRICHARD PUBLIC LIBRARY","300 LOVEJOY LOOP WEST","PRICHARD","AL",36610,NA,"CE",30.73169,-88.08396566,2020,1,NA
"92","AL0181",4,"999-025","PRICHARD PUBLIC - MITCHELL BRANCH","4440 HIGHPOINT BLVD","EIGHT MILE","AL",36613,NA,"BR",30.7599672,-88.1610533,2020,1,NA
"93","AL0182",6,"AL0182-006","WASHINGTON COUNTY BOOKMOBILE","14102 ST. STEPHENS AVE","CHATOM","AL",36518,NA,"BS",31.46113276,-88.24377415,2020,1,NA
"94","AL0184",2,"999-032","EVERGREEN - CONECUH COUNTY PUBLIC LIBRARY","119 CEMETERY AVENUE","EVERGREEN","AL",36401,NA,"CE",31.43402733,-86.95378108,2020,1,NA
"95","AL0186",13,"AL0186-017","MOBILE PUBLIC LIBRARY - BOOKMOBILE","700 GOVERNMENT STREET","MOBILE","AL",36633,NA,"BS",30.68723353,-88.05061403,2020,1,NA
"96","AL0187",9,"AL0187-002","MONTGOMERY CITY-COUNTY PUBLIC LIBRARY- PINE LEVEL BRANCH","20 KOHN DRIVE","RAMER","AL",36069,NA,"BR",32.064554,-86.060602,2015,1,NA
"97","AL0187",24,"999-036","MONTGOMERY CITY-COUNTY PUBLIC LIBRARY - OUTREACH AND EXTENSI","2885 B EAST SOUTH BOULEVARD","MONTGOMERY","AL",36111,NA,"BS",32.32742747,-86.249322,2020,1,NA
"98","AL0189",2,"516-002","STEVENSON PUBLIC LIBRARY","102 WEST MAIN STREET","STEVENSON","AL",35772,NA,"CE",34.86860309,-85.83894494,2020,1,NA
"99","AL0190",2,"516-003","KILLEN PUBLIC LIBRARY","325 J. C. MAULDIN HIGHWAY","KILLEN","AL",35645,NA,"CE",34.85907291,-87.54176574,2020,1,NA
"100","AL0193",2,"999-045","FAYETTE COUNTY MEMORIAL LIBRARY","326 TEMPLE AVENUE NORTH","FAYETTE","AL",35555,NA,"CE",33.68747776,-87.83072537,2020,1,NA
"101","AL0194",2,"999-046","PHENIX CITY - RUSSELL COUNTY PUBLIC LIBRARY","1501 17TH AVENUE","PHENIX CITY","AL",36867,NA,"CE",32.47570405,-85.01627112,2020,1,NA
"102","AL0196",9,"AL0196-009","TUSCALOOSA PUBLIC LIBRARY - BOOKMOBILE","1801 JACK WARNER PARKWAY","TUSCALOOSA","AL",35401,NA,"BS",33.21631707,-87.5620795,2020,1,NA
"103","AL0196",11,"999-048","TUSCALOOSA PUBLIC LIBRARY BOOKMOBILE 2","1801 JACK WARNER PARKWAY","TUSCALOOSA","AL",35401,NA,"BS",33.21621,-87.5624,2019,1,NA
"104","AL0197",3,"999-048","WILCOX COUNTY - PINE APPLE BRANCH LIBRARY","124 COUNTY ROAD 59","PINE APPLE","AL",36768,NA,"BR",31.88216506,-86.99250837,2020,1,NA
"105","AL0197",4,"999-049","WILCOX COUNTY - PINE HILL BRANCH LIBRARY","530 OAK GROVE STREET","PINE HILL","AL",36769,NA,"BR",31.98762031,-87.58892744,2020,1,NA
"106","AL0199",10,"AL0199-013","CULLMAN COUNTY PUBLIC - BOOKMOBILE","200 CLARK ST. NE","CULLMAN","AL",35055,NA,"BS",34.17907434,-86.84259702,2020,1,NA
"107","AL0209",3,"509-005","EUFAULA - MCCOO MEMORIAL CHILDREN`S LIBRARY","217 N. EUFAULA AVE.","EUFAULA","AL",36027,NA,"BR",31.894026,-85.145606,2016,1,NA
"108","AL0210",2,"107-005","GRANT PUBLIC LIBRARY","5379 MAIN STREET","GRANT","AL",35747,NA,"CE",34.52550195,-86.25270842,2020,1,NA
"109","AL0218",2,"500-009","CROSSVILLE PUBLIC LIBRARY","12 LIBRARY LANE","CROSSVILLE","AL",35962,NA,"CE",34.28718786,-85.99250169,2020,1,NA
"110","AL0227",2,"AL0231-002","BRIDGEPORT - LENA CAGLE PUBLIC LIBRARY","401 ALABAMA AVENUE","BRIDGEPORT","AL",35740,NA,"CE",34.94776685,-85.71309276,2020,1,NA
"111","AL0238",1,"AL0240-001","OHATCHEE PUBLIC LIBRARY","7803 ALABAMA HIGHWAY 77","OHATCHEE","AL",36271,NA,"CE",33.78004691,-86.03822906,2020,1,NA
"112","AL0247",1,"512-008","MUNFORD PUBLIC LIBRARY","82 RAILROAD STREET","MUNFORD","AL",36268,NA,"CE",33.530807,-85.95423432,2020,1,NA
"113","AL0248",1,"AL8004-001","SOUTHSIDE PUBLIC LIBRARY","2138 HIGHWAY 77","SOUTHSIDE","AL",35907,NA,"CE",33.92226854,-86.02241311,2020,1,NA
"114","AL0251",1,"AL8008-001","GLENCOE PUBLIC LIBRARY","101 WEST MAIN STREET","GLENCOE","AL",35905,NA,"CE",33.95600096,-85.93412484,2020,1,NA
"115","AL0255",1,"508-000","MARENGO LIBRARY SYSTEM","211 EAST WASHINGTON STREET","DEMOPOLIS","AL",36732,NA,"BS",32.517364,-87.836166,2017,1,NA
"116","AL0256",1,"511-000","PICKENS COUNTY COOPERATIVE LIBRARY","155 REFORM STREET","CARROLLTON","AL",35447,NA,"CE",33.26380213,-88.09464101,2020,1,NA
"117","AL0257",1,"504-006","R.L. HADDEN MEMORIAL LIBRARY","17163 ALABAMA 75","HENAGAR","AL",35978,NA,"CE",34.63188059,-85.74447597,2020,1,NA
"118","AL8004",1,"AL0182-006","MOUNT VERNON PUBLIC LIBRARY","19180 SHEPARD LAKE ROAD EAST","MOUNT VERNON","AL",36560,NA,"CE",31.09256133,-87.99162169,2020,1,NA
"119","AR0001",12,"AR0001-012","SUE COWAN WILLIAMS LIBRARY","1800 CHESTER AVE.","LITTLE ROCK","AR",72206,NA,"BR",34.73242357,-92.28484423,2020,1,NA
"120","AR0002",9,"AR0002-009","GREENLAND PUBLIC LIBRARY","8 EAST ROSS/CITY COMPLEX","GREENLAND","AR",72737,NA,"BR",35.99682897,-94.17325332,2020,1,NA
"121","AR0002",10,"AR0002-010","LINCOLN PUBLIC LIBRARY","107 WEST BEAN","LINCOLN","AR",72744,NA,"BR",35.95006796,-94.42361717,2020,1,NA
"122","AR0002",11,"AR0002-011","PRAIRIE GROVE PUBLIC LIBRARY","881 WEST BUCHANAN STREET","PRAIRIE GROVE","AR",72753,NA,"BR",35.97208391,-94.33086688,2020,1,NA
"123","AR0002",12,"AR0002-012","WINSLOW PUBLIC LIBRARY","351 SOUTH HIGHWAY 71","WINSLOW","AR",72959,NA,"BR",35.79653199,-94.12788963,2020,1,NA
"124","AR0002",13,"AR0002-013","WEST FORK PUBLIC LIBRARY","198 W. MAIN ST.","WEST FORK","AR",72774,NA,"BR",35.92525275,-94.18678582,2020,1,NA
"125","AR0002",18,"AR0002-018","WASHINGTON COUNTY LIBRARY SYSTEM","1080 WEST CLYDESDALE DR","FAYETTEVILLE","AR",72701,NA,"CE",36.03459753,-94.17586127,2020,1,NA
"126","AR0002",999,"AR002","WASHINGTON COUNTY LIBRARY SYSTEM","1080 WEST CLYDESDALE DR","FAYETTEVILLE","AR",72701,"MA",NA,36.03459753,-94.17586127,2020,1,NA
"127","AR0004",15,"AR0004-015","PIKE COUNTY LIBRARY","210 2ND AVENUE","MURFREESBORO","AR",71958,NA,"BR",34.06181635,-93.68873904,2020,1,NA
"128","AR0004",16,"AR0004-016","BAINUM LIBRARY & LEARNING CENTER","128 EAST BROADWAY","GLENWOOD","AR",71943,NA,"BR",34.32668078,-93.55078436,2020,1,NA
"129","AR0004",17,"AR0004-017","DELIGHT BRANCH LIBRARY","401 EAST ANTIOCH","DELIGHT","AR",71940,NA,"BR",34.03136617,-93.50292395,2020,1,NA
"130","AR0004",26,"AR004-01","SOUTHWEST ARKANSAS REGIONAL LIBRARY","121 WEST MAIN","PRESCOTT","AR",71857,NA,"CE",33.802679,-93.38128064,2020,1,NA
"131","AR0004",999,"AR0004-023","SOUTHWEST ARKANSAS REGIONAL LIBRARY","121 WEST MAIN","PRESCOTT","AR",71857,"MA",NA,33.802679,-93.38128064,2020,1,NA
"132","AR0005",10,"AR0005-010","ROY AND CHRISTINE STURGIS LIBRARY OF CLEVELAND COUNTY","203 WEST MAGNOLIA","RISON","AR",71665,NA,"BR",33.95791463,-92.19218037,2020,1,NA
"133","AR0005",13,"AR0005-013","FOHRELL PUBLIC LIBRARY","186 DALLAS 208","SPARKMAN","AR",71763,NA,"BR",33.97118842,-92.86691469,2020,1,NA
"134","AR0005",15,"AR0046-002","MABEL BOSWELL MEMORIAL LIBRARY","201 NORTH PRICKETT ROAD","BRYANT","AR",72022,NA,"BR",34.60947157,-92.49546327,2020,1,NA
"135","AR0005",16,"AR0046-003","BOB HERZFELD MEMORIAL LIBRARY","1800 SMITHERS DRIVE","BENTON","AR",72015,NA,"BR",34.58058671,-92.56986953,2020,1,NA
"136","AR0007",4,"AR0007-004","FULTON COUNTY LIBRARY- MAMMOTH SPRING","325 MAIN STREET","MAMMOTH SPRING","AR",72554,NA,"BR",36.49577944,-91.54075268,2020,1,NA
"137","AR0007",5,"AR0007-005","FULTON COUNTY LIBRARY- SALEM","131 SOUTH PICKREN STREET","SALEM","AR",72576,NA,"BR",36.37056391,-91.82380243,2020,1,NA
"138","AR0007",6,"AR0007-006","FULTON COUNTY LIBRARY-VIOLA","199 HWY 223","VIOLA","AR",72583,NA,"BR",36.47905385,-91.97773115,2020,1,NA
"139","AR0007",7,"AR0007-007","CLEBURNE COUNTY LIBRARY-GREERS FERRY","8249 EDGEMONT ROAD, SUITE 9","GREERS FERRY","AR",72067,NA,"BR",35.56684446,-92.18107384,2020,1,NA
"140","AR0007",8,"AR0007-008","MARY I. WOLD CLEBURNE COUNTY LIBRARY","1009 WEST MAIN STREET","HEBER SPRINGS","AR",72543,NA,"BR",35.49198592,-92.03908974,2020,1,NA
"141","AR0007",9,"AR0007-009","CALICO ROCK BRANCH","301 2ND STREET","CALICO ROCK","AR",72519,NA,"BR",36.11878985,-92.13365063,2020,1,NA
"142","AR0007",10,"AR0007-010","HORSESHOE BEND BRANCH LIBRARY","9 CLUB ROAD","HORSESHOE BEND","AR",72512,NA,"BR",36.2287826,-91.76426135,2020,1,NA
"143","AR0007",11,"AR0007-011","MELBOURNE PUBLIC LIBRARY","1007 E. MAIN STREET","MELBOURNE","AR",72556,NA,"BR",36.05906074,-91.88932972,2020,1,NA
